"New Site successfully created in Paysite-cash system!","Site cree dans Paysite-cash avec succes!"
"Site id: ","ID site"
"Site creation error!","Erreur creation de site!"
"Site with URL %s is already registered","Site avec l'URL %s est deja enregistre"
"Missing required field <code> %s </code>","Champ requis non renseigne <code> %s </code>"
"Extra field <code> %s </code> passed","Champ suplementaire <code> %s </code> passe"
"Unexpected error occured: %s","Une erreur s'est produite : %s"
"Site creation error!","Erreur creation de site!"
"Error message: ","Erreur : "
"Error details: ","Details erreur : "
"API Key successfully retrieved!","Cle API recuperee avec succes!"
"API Key: ","Cle API : "
"API key retrieval failure!","Echec de recuperation cle API"
"Merchant registration success!","Ouverture de compte commercant reussie!"
"Username: ","Nom d'utilisateur"
"Merchant registration failure!","Echec ouverture de compte commercant"
"Merchant","Commercant"
"Status","Statut"
"Individual","Particulier"
"Company","Societe"
"Firstname","Prenom"
"Lastname","Nom"
"Registration country","Pays d'enregistrement de la societe"
"Director&rsquo;s country of residence","Pays de residence du directeur"
"EU VAT","Numero de TVA UE"
"Monthly turnover (in Euro)","Chiffre d'affaires mensuel (en EUR)"
"Postal address","Adresse postale"
"Zipcode","Code postal"
"City","Ville"
"Country","Pays"
"Phone number","Numero de telephone"
"Email","Email"
"Main website URL","URL du site"
"Business description","Description de l'activite"
"Username","Nom d'utilisateur"
"Site URL","URL du site"
"Confirmation URL","URL de confirmation backoffice"
"Confirmation URL username","Nom d'utilisateur URL de confirmation backoffice"
"Confirmation URL password","Mot de passe URL de confirmation backoffice"
"Alert URL"," URL de confirmation backoffice pour alertes"
"After payment URL","URL de retour apres paiement"
"Cancelled payment URL","URL de retour apres paiement annule"
"Registration in Paysite-cash","Ouverture de compte Paysite-cash"
"Merchant authentication","Identification commercant"
"Have already Paysite-cash merchant API key?","Avez-vous deja une cle API commercant Paysite-cash?"
"No","Non"
"Yes","Oui"
"Merchant API key","Cle API commercant"
"Username","Nom d'utilisateur"
"Password","Mot de passe"
"Get API key","Obtenir cle API"
"Site details","Details du site"
"Site name","Nom du site"
"Site URL","URL du site"
"Customer email contact","Email contact client"
"Site is selling goods","Site vend des produits physiques"
"URLs and BackOffice","URLs et Backoffice"
"Referrer URL","URL referante"
"After payment URL","URL de retour apres paiement"
"Payment cancelled URL","URL de retour apres paiement annule"
"BackOffice confirmation url","URL de confirmation backoffice"
"BackOffice Username (if required)","Nom d'utilisateur URL de confirmation backoffice (si requis)"
"BackOffice Password (if required)","Mot de passe URL de confirmation backoffice (si requis)"
"Anti-fraud settings","Parametres anti-fraude"
"Multiple payments alert limit",""
"Accept abroad payments",""
"Accept free emails","Autoriser les emails gratuits"
"Accept multiple subscriptions","Autoriser les multi-abonnements"
"Validate by SMS","Validation porteurs par SMS"
"Validate by phone","Validation porteurs par tel"
"Revalidate cardholder after","Revalider les porteurs apres"
"months","mois"
"Revalidate cardholder after","Revalider les porteurs apres"
"Request activation?","Demande d'activation"
"Create new site","Creer un nouveau site"
"New order status","Statut de la commande"
"Activate debug mode","Activer mode debug"
"Activate test mode","Activer mode test"
"Payment Gateway","Portail de paiement"
"Paysite-cash (Credit Card)","Paysite-cash (Carte bancaire)"
"Order status for successful transaction","Statut pour transactions réussies"
"Safe Payment by Credit Card","Paiement par Carte Bancaire Sécurisé"
"Enabled","Activé"
