# fr-FR
"Weight unit for the store","Unité de poids"
"Please install %s on your server to print mass","Veuillez installer %s sur votre serveur pour pouvoir imprimer en masse"
"No match found","Aucune correspondance trouvée"
"Configuration disabled","Configuration désactivée"
"The cart doesn't match conditions","Le panier ne correspond pas aux conditions"
"The shipping method doesn't cover the zone","Le mode de livraison ne couvre pas la zone"
"The shipping method doesn't match to shipping origin","Le mode de livraison ne correspond pas à l'origine de livraison"
"The shipping method doesn't match to customer group (%s)","Le mode de livraison ne correspond pas au groupe client (%s)"
"Infinite loop %s","Boucle infinie %s"
"Non-existent property %s","Propriété inexistante %s"
"Error in table %s","Erreur dans la table %s"
"Invalid formula","Formule invalide"
"Unrecognized value of deprecated property %s %s","Valeur non reconnue de la propriété obsolète %s %s"
"Usage of deprecated syntax %s","Utilisation d'une syntaxe obsolète %s"
"Usage of unknown properties %s","Utilisation de propriétés non reconnues %s"
"Usage of deprecated properties %s","Utilisation de propriétés obsolètes %s"
"Usage of obsolete method to disabling a shipping method (`#` before `{`)%s","Utilisation d'une méthode obsolète pour désactiver une méthode de livraison (`#` avant `{`)%s"
"A semicolon is missing at the end of following lines %s","Il manque une virgule à la fin des lignes suivantes %s"
"Ignored lines %s","Lignes ignorées %s"
"The property `code` must be unique, `%s` has been found twice","La propriété `code` doit être unique, la valeur `%s` a été trouvée plusieurs fois"
"There are unwanted spaces after char `%s`","Il y a des espaces indésirables après le caractère `%s`"
"There are unwanted spaces before char `%s`","Il y a des espaces indésirables avant le caractère `%s`"
"There are unwanted multiples spaces `%s`","Il y a des espaces indésirables multiples `%s`"
"No point relay is associated with this postcode","Aucun point Chrono Relais trouvé"
"track the package","suivre le colis"
"Chronorelay points","Les points relais les plus proches"
"Application Fee","Frais de dossier"
"Handling Fee","Frais de traitement"
"Logo Url","Url du logo"
"Weight Limit","Limite de poids"
"Free Shipping on the Amount","Livraison gratuite fonction du montant"
"Minimum Amount for Free Shipping","Montant minimum pour livraison gratuite"
"Semicolon","Point virgule"
"Comma","Virgule"
"Configuration","Configuration"
