sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,battery_capacity,color,compatible,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ean,em_deal,em_featured,em_hot,gallery,gift_message_available,has_options,image,image_label,internal_memory_size,keyboard_type,lengow_product,manufacturer,media_gallery,merchant,meta_description,meta_keyword,meta_title,minimal_price,mobile_network,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,screen_size,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
10000012,,Mobile,simple,Mobile,French,base,,Black,,,,"2013/11/26 15:31:22",,2013/12/18,,,"Plus performant, l'
  <strong>iPhone 5</strong>
   d'Apple intègre un écran encore plus lumineux et un processeur plus rapide.
  <br>
  <br>
  <strong>Une conception fine et légère</strong>
  <br>
  Toute la puissance de l'
  <strong>iPhone 5</strong>
   est contenue dans un boîtier en alumininium de 7,6 mm d'épaisseur pour 112 grammes. Plus fin et plus léger, cet iPhone propose un encombrement réduit de 12% par rapport à la version précédente. Même son connecteur a été revu. Sa connectique Lightning qui se veut réversible propose une conception à 8 signaux numériques plus durable que ceux du connecteur 30 broches.
  <br>
  <br>
  <strong>Ecran Retina</strong>
  <br>
  L'
  <strong>iPhone 5</strong>
   est le premier téléphone d'Apple à profiter de la technologie Retina. Avec un écran plus grand, 4 pouces et un niveau de détail supérieur, l'
  <strong>iPhone 5</strong>
   se transforme en moniteur sur le monde extérieur. Les pixels sont si denses avec l'écran Retina qu'ils sont pratiquement invisibles à l'oeil nu. l'
  <strong>iPhone 5</strong>
   vous offre 18% de pixels en plus et un résolution spectaculaire de 1136 x 640 pixels.
  <br>
  <br>
  <strong>Ultraconnecté</strong>
  <br>
  Ce smartphone Apple prend en charge de nombreux réseaux comme la 3G+ ou le WiFi. Où que vous soyez, l'iPhone 5 reste connecté en permanence. Ce téléphone navigue sur Internet, télécharge, actualise votre profil et vous facilite le quotidien. Compatible AirPlay et Bluetooth, ce smartphone communique avec vos autres appareils et peut même se substituer à la télécommande votre téléviseur. L'iPhone 5 sert également de GPS.
  <br>
  <br>
  <strong>Processeur A6</strong>
  <br>
  La puce A6 de l'
  <strong>iPhone 5</strong>
   offre des graphismes jusqu'à deux fois plus rapides que la puce A5. Ce processeur a été optimisé pour une utilisation avec le système iOS 6. Peu gourmand en énergie, l'A6 peut fonctionner à pleine vitesse sans impact sur la batterie de l'
  <strong>iPhone 5</strong>
  . L'autonomie de ce téléphone portable est estimé à 8 heures en conversation et navigation Internet et jusqu'à 10 heures en lecture vidéo.
  <br>
  <br>
  <strong>Ecouteurs EarPods</strong>
  <br>
  L'
  <strong>iPhone 5</strong>
   est accompagné des écouteurs EarPods au design innovant. Les ingénieurs d'Apple ont conçu ces écouteurs en prenant en compte la morphologie particulière de l'oreille. Les EarPods sont volontairement ovales pour épouser l'intérieur de l'oreille humaine et rester parfaitement en place. Ces écouteurs intègrent trois micros, un à l'avant, un à l'arrière et un en bas pour restituer un son plus clair.
  <br>
  <br>
  <strong>Caméra iSight</strong>
  <br>
  Le capteur de 8 mégapixels de l'
  <strong>iPhone 5</strong>
   enregistre des photographies panoramiques, mais aussi des vidéos HD 1080p avec stabilisation vidéo. Les appels en FaceTime HD sont également possibles en 720p via le capteur avant de 1,2 mégapixels.",,1,1,0,,,0,/l/_/l_21026709_1.jpg,,16GB,,1,Apple,,,,"APPLE iPhone 5 16 Go - blanc","APPLE iPhone 5 16 Go - blanc",,,,"Utiliser la config","Utiliser la config","iPhone 5 16 Go – blanc debloqué",2013/12/18,,"Bloc après la colonne d'information",,750,0,,"Plus performant, l'iPhone 5 d'Apple intègre un écran encore plus lumineux et un processeur plus rapide.",/l/_/l_21026709_1.jpg,,,,,2,5,/l/_/l_21026709_1.jpg,,"2014/01/29 11:09:42",apple-iphone-5-16-go-blanc,apple-iphone-5-16-go-blanc.html,4,0.412,48,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/l/_/l_21026709_1.jpg,,1,0,,,,
,,,,Apple,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/l/_/l_21026709_001_1.jpg,,2,0,,,,
,,,,"Apple/Iphone 5",French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/l/_/l_21026709_002_1.jpg,,3,0,,,,
10000013,,Mobile,simple,Mobile,French,base,,White,,,Chine,"2013/12/19 10:47:26",,,,,"<h1>Le t&eacute;l&eacute;phone portable HTC One Silver</h1>
<p>Le HTC One Silver est sans conteste un t&eacute;l&eacute;phone pens&eacute; <strong>pour une utilisation professionnelle</strong>. Pour une utilisation personnelle, ce t&eacute;l&eacute;phone portable ne se destine pas aux d&eacute;butants. T&eacute;moignent de cette utilisation exp&eacute;riment&eacute;e, l&rsquo;agenda, les r&eacute;seaux sociaux, l&rsquo;InFeed, les diff&eacute;rentes possibilit&eacute;s de param&eacute;trages, les nombreux widgets beaucoup plus modernes, parlants et &eacute;pur&eacute;s, sa surcouche logiciels.</p>
<h2>Nos premi&egrave;res constatations face au HTC One Silver</h2>
<p>Concernant cette pr&eacute;sence logicielle plut&ocirc;t convaincante, il faut noter une <strong>suite logicielle compatible MAC</strong>, m&ecirc;me s&rsquo;il est vrai qu&rsquo;il existe quelques ralentissements sur ce point.</p>
<p>Bien &eacute;videmment, la prise en main est aussi agr&eacute;able qu&rsquo;est le visuel du HTC One Silver. L&rsquo;assemblage est pr&eacute;cis, et le confort s&rsquo;applique aussi bien au design dans l&rsquo;ensemble qui est tr&egrave;s VIP. La performance &agrave; l&rsquo;usage, avec une utilisation mixte (internet, t&eacute;l&eacute;phone et autres utilisations) est plut&ocirc;t fluide.</p>
<h2>De la personnalisation du t&eacute;l&eacute;phone</h2>
<p>Si l<strong>&rsquo;aspect monobloc est un point fort</strong>, le HTC One Silver souffre peut-&ecirc;tre que tout ne soit pas personnalisable. L&rsquo;InFeed ne peut pas se d&eacute;sactiver. Et m&ecirc;me si en France ce mobile propose 200 contenus, l&rsquo;utilisateur doit se contenter de ce qui existe, il est impossible d&rsquo;en rajouter. En revanche, les menus de base sont personnalisables.</p>
<p>Dans le cadre d&rsquo;une utilisation impeccable, l&rsquo;actualit&eacute; comme les r&eacute;seaux sociaux sont sous forme de vignettes dynamiques. Dommage que le choix des partenaires media soit restreint par d&eacute;faut.</p>
<p>La mise &agrave; jour du flux est manuelle, en tirant l&rsquo;&eacute;cran vers le bas. Il est possible de passer en mode automatique depuis les param&egrave;tres. A noter que par d&eacute;faut le wifi est activ&eacute;, ce qui &eacute;vite bien entendu de prendre sur d&rsquo;autres ressources (data et batterie).</p>
<p>Ce c&ocirc;t&eacute; monobloc si beau et caract&eacute;ristique du HTC One Silver est aussi son point faible, puisque la batterie n&rsquo;est pas amovible, et il est impossible de rajouter une carte m&eacute;moire suppl&eacute;mentaire. Pour autant, un utilisateur achetant <strong>tous les 2 ans un nouveau t&eacute;l&eacute;phone</strong> ne verra pas l&rsquo;utilit&eacute; de changer la batterie dont la dur&eacute;e de vie est tr&egrave;s bonne.</p>
<h2>T&eacute;l&eacute;phone portable et aussi un bon photophone</h2>
<p>Le HTC One Silver profite d&rsquo;une tr&egrave;s haute densit&eacute; de pixels &agrave; l&rsquo;affichage, ce qui apporte <strong>une grande pr&eacute;cision de l&rsquo;image</strong>. Les contenus sont de fait davantage mis en valeur, ce qui est un plus consid&eacute;rable. De m&ecirc;me, la technologie LCD3 offre une restitution des couleurs magnifique, et un angle de vision exceptionnel.</p>
<p>De m&ecirc;me, la capture vid&eacute;o est excellente, et la fonction de stabilisation est grandement appr&eacute;ciable. Il est m&ecirc;me possible de s&rsquo;amuser avec le slow motion, pour visualiser une vid&eacute;o au ralenti&nbsp;: 60 images seconde &agrave; 120 images seconde. Certes, la qualit&eacute; de l&rsquo;image reste moyenne mais vraiment exploitable.</p>
<p>Cet aspect cr&eacute;atif se retrouve aussi avec les possibilit&eacute;s de retouches d&rsquo;images, et de cr&eacute;er une sc&egrave;ne dynamique en les fusionnant. La fonction de partage est donc bienvenue&nbsp;!</p>
<h2>Compl&eacute;ments sur le HTC One Silver</h2>
<p>Acheter ce t&eacute;l&eacute;phone qui permet sans crainte <strong>une utilisation mixte</strong> de ses fonctions - et avec une autonomie suffisante de la batterie -, c&rsquo;est aussi pouvoir profiter d&rsquo;un son tr&egrave;s digne, avec une spatialisation du son surprenante, sauf peut-&ecirc;tre pour ce qui est des basses.</p>
<p>Vous noterez &eacute;galement la pr&eacute;sence d&rsquo;un port infrarouge, lequel permet de prendre la main sur la box et la TV. A ce titre, le programme TV du HTC One Silver est enrichi, et nous aimons.</p>
<p>Face &agrave; l<strong>&rsquo;esth&eacute;tique du mobile</strong>, il est presque dommage de le personnaliser avec une coque ou un &eacute;tui. En revanche, le HTC One Silver chauffe rapidement, parfois 4 degr&eacute;s de plus que d&rsquo;autres t&eacute;l&eacute;phones pour une utilisation dans des conditions identiques. Vous aurez peut-&ecirc;tre envie de palier cet exc&egrave;s de chaleur avec une protection. Quoi qu&rsquo;il en soit, il reste l&rsquo;un de nos coups de c&oelig;ur&nbsp;!</p>",4718487630493,0,1,0,,,0,/5/4/54649096_700x700min_1.jpg,,32GB,AZERTY,1,HTC,,,,,,,4G,,"Utiliser la config","Utiliser la config","HTC One Silver 32GB debloqué",,,"Bloc après la colonne d'information",,467,0,"4""","Le HTC One Silver est sans conteste un téléphone pensé pour une utilisation professionnelle.",/5/4/54649096_700x700min_1.jpg,,,,,1,5,/5/4/54649096_700x700min_1.jpg,,"2014/01/29 11:09:42",htc-one-silver-32gb,htc-one-silver-32gb.html,4,0.5,47,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/0/5/05791670-photo-htc-one-12.jpg,,2,0,,,,
,,,,Android,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/0/5/05791672-photo-htc-one-13.jpg,,4,0,,,,
,,,,Android/HTC,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/0/5/05791664-photo-htc-one-1.jpg,,3,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/h/t/htc-one-max-glacial-silver-perspective-right.jpg,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/5/4/54649096_700x700min_1.jpg,,1,0,,,,
10000014,,Mobile,simple,Mobile,French,base,,Black,,,,"2014/01/08 08:25:03",,,,,"<h1>HTC Desire 200 (102e) Black</h1>
<p>Mod&egrave;le d&rsquo;entr&eacute;e de gamme du constructeur taiwanais, le HTC Desire 200 pr&eacute;sente des caract&eacute;ristiques techniques basiques qui le destinent davantage &agrave; <strong>une client&egrave;le jeune ou non-technophile</strong> plut&ocirc;t qu&rsquo;aux utilisateurs exp&eacute;riment&eacute;s de smartphones Android.</p>
<h2>Prise en main du HTC Desire 200&nbsp;est assez confortable</h2>
<p>Qu&rsquo;on ne s&rsquo;y trompe pas, le HTC Desire 200, avec son design de &laquo;&nbsp;savonnette&nbsp;&raquo;, reste cependant bien plus <strong>agr&eacute;able &agrave; prendre en main</strong> que de nombreux smartphones haut de gamme. L&rsquo;appareil est petit - environ la taille d&rsquo;une carte de cr&eacute;dit - et tout en rondeur, ce qui lui offre une excellente ergonomie, notamment dans le cadre d&rsquo;une utilisation &agrave; une main. A ce titre, il conviendra parfaitement aux plus jeunes ou &agrave; la gent f&eacute;minine.</p>
<p>Les boutons physiques sont en outre tr&egrave;s faciles d&rsquo;acc&egrave;s et les trois boutons situ&eacute;s sous l&rsquo;&eacute;cran offrent un excellent retour tactile.</p>
<h2>Ecran&nbsp;: destin&eacute; aux t&acirc;ches basiques</h2>
<p>Dot&eacute; d&rsquo;une diagonale de 3,5 pouces pour une r&eacute;solution de 320x480 pixels, le Desire 200 reste en retrait par rapport aux &eacute;crans HD des smartphones haut de gamme.</p>
<p>Bien que lumineux et color&eacute;, la faible d&eacute;finition de cet &eacute;cran le r&eacute;serve &agrave; un usage basique. Bref, si l&rsquo;appareil est &eacute;quip&eacute; de tout ce qu&rsquo;il faut en terme de connectivit&eacute; (navigateur, Wifi, 3G), son &eacute;cran modeste ne permet pas de l&rsquo;utiliser pour surfer confortablement sur le web.</p>
<h2>Un mobile d&rsquo;appoint c&ocirc;t&eacute; photo et son</h2>
<p>C&rsquo;est un capteur de 5 m&eacute;gapixels qui &eacute;quipe le HTC Desire 200. Sans surprise, celui-ci d&eacute;livre des images assez bruit&eacute;es et sombres. D&egrave;s lors, la partie photo du Desire 200 conviendra davantage comme appareil d&rsquo;appoint que comme r&eacute;el substitut d&rsquo;un APN compact. Mais cela est suffisant pour des SMS, par exemple.</p>
<p>C&ocirc;t&eacute; son, la qualit&eacute; audio reste bonne, comme &agrave; l&rsquo;accoutum&eacute;e chez HTC. Vous pourrez d&rsquo;ailleurs stocker la musique sur carte MicroSD, le Desire 200 ayant une m&eacute;moire vive de 4Go (1Go disponible pour l&rsquo;utilisateur) extensible jusqu'&agrave; 32 Go.</p>
<h2>Des performances r&eacute;duites malgr&eacute; tout</h2>
<p>Le Desire 200 embarque un processeur SnapDragon S1 dot&eacute; de 512Mo de m&eacute;moire vive. A l&rsquo;usage, ce dernier montre vite ses limites et une certaine lenteur se ressent lors de la navigation dans l&rsquo;interface ou dans le chargement des applications.</p>
<h2>L&rsquo;interface&nbsp;du smartphone reste agr&eacute;able</h2>
<p>Livr&eacute; avec Android 4.0.3, l&rsquo;appareil est &eacute;quip&eacute; de l&rsquo;interface Sense 4.0, qui n&rsquo;est pas la plus r&eacute;cente du constructeur taiwanais. Toutefois, celle-ci reste <strong>tr&egrave;s agr&eacute;able &agrave; l&rsquo;usage</strong> et b&eacute;n&eacute;ficie de raffinement graphiques et de fonctions plus riches que celles propos&eacute;es par la concurrence dans cette gamme de prix.</p>
<h2>Une autonomie dans la moyenne basse</h2>
<p>Pour conclure, le Desire 200 offre une batterie de 1230 mAh. A l&rsquo;usage, l&rsquo;appareil reste dans la moyenne basse et il vous faudra le recharger quotidiennement si vous le sollicitez de fa&ccedil;on r&eacute;guli&egrave;re.</p>",4710937385793,1,0,0,,,0,/h/t/htc-desire-200-102e.jpg,,4GB,AZERTY,1,HTC,,,,,,,Réseaux,,"Utiliser la config","Utiliser la config","HTC Desire 200 (102e) Black debloqué",,,"Bloc après la colonne d'information",,95,0,"4""","Le HTC Desire 200 est l’entrée de gamme de HTC. Doté d’une excellente prise en main, ce smartphone se destine davantage aux utilisateurs qui souhaitent un smartphone de taille",/h/t/htc-desire-200-102e.jpg,,,,,1,5,/h/t/htc-desire-200-102e.jpg,,"2014/01/29 11:09:42",htc-desire-200-102e-black,htc-desire-200-102e-black.html,4,0.5,20,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/h/t/htc-desire-200-102e.jpg,,1,0,,,,
,,,,Android,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/h/t/htc-desire-200.png,,2,0,,,,
